color,design,apparel,flair,accessory
amethyst,floral,cardigan,anklet,backpack
aquamarine,chevron,dress,armlet,bandana
azure,houndstooth,gown,belt,beret
beige,leaopard print,slacks,bolo tie,bonnet
black,damask,skirt,bowtie,cane
blue,stripes,kilt,bracelet,clutch
bronze,buffalo check,cowboy boots,brooch,cumberbund
brown,plaid,sneakers,choker,duffle bag
buff,pin striped,loafers,crown,durag
burgundy,harringbone,high-heels,collar pin,earmuffs
canary yellow,paisley,jacket,cufflinks,fanny pack
cerulean,sharkskin,jeans,diadem,fedora
charcoal,gingham,leggings,ear cuffs,fingerless gloves
copper,polka dot,suit,earrings,stockings
coral,twill,poncho,eyeglasses,gaiters
crimson,tartan,robe,fascinator,gloves
emerald,checkered,cloak,hairpin,handbag
gold,honeycomb,tank top,handkerchief,headband
green,argyle,frock coat,keychain,hat
hunter green,scaled,bomber jacket,lapel pin,leg warmers
hot pink,camouflage,sundress,muff,mittens
indigo,celtic knot,blouse,necklace,knee-high socks
ivory,brocade,riding boots,nose ring,panama hat
lilac,,tshirt,pendant,parasol
magenta,,polo shirt,pocket square,purse
mint,,pajamas,pocket watch,sash
mustard,,dressing gown,ring,scarf
maroon,,slippers,sunglasses,shawl
navy blue,,sandals,tiara,suspenders
olive,,romper,tie,tights
orange,,overalls,wallet chain,umbrella
pink,,work boots,wristlet,vest
plum,,sweater,button,visor
purple,,sweater vest,boutonniere,veil
red,,tutu,cigarette case,waistcoat
rose,,shorts,cigarette holder,cap
rust,,bike shorts,coin purse,epaulette
silver,,hoodie,corsage,boa
spphire,,ski jacket,fan,opera glove
scarlet,,windbreaker,money clip,walking stick
teal,,,,
violet,,,,
white,,,,
yellow,,,,
